,favoriteCount,replyCount,retweetCount,text,usersMentioned,Num Of Caps,Num Of Punc,Tweet Length,AAPL,AET,AMZN,AOBC,BA,BAC,C,CAT,DIS,F,FB,GM,GOOGL,GS,IBM,JPM,KO,LMT,MMM,MRK,MS,NFLX,NKE,PFE,PG,RGR,RTN,SNAP,T,TSLA,UHS,UNH,UTX,VSTO,VZ,WFC,WMT,XOM
01-01-2018,526606.0,96320.0,145168.0,"Will be leaving Florida for Washington (D.C.) today at 4:00 P.M. Much work to be done, but it will be a great New Year! Iran is failing at every level despite the terrible deal made with them by the Obama Administration. The great Iranian people have been repressed for many years. They are hungry for food & for freedom. Along with human rights, the wealth of Iran is being looted. TIME FOR CHANGE! The United States has foolishly given Pakistan more than 33 billion dollars in aid over the last 15 years, and they have given us nothing but lies & deceit, thinking of our leaders as fools. They give safe haven to the terrorists we hunt in Afghanistan, with little help. No more!",[],45.0,23.0,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02-2016,,,,,,,,,-0.0004146470362324296,0.0011622566585956123,-0.00577709221023913,0.010722563602677659,0.016048136209028136,-0.0064056939501779256,0.002832837515749654,0.011779893306763007,0.0007362221132472544,0.012583892617449695,0.0251180108252786,0.02206388398044415,-0.0006353110412141305,-0.004737921457816449,0.0034565915842992255,-0.005070977011494128,0.009389718750691035,0.002580560130472964,-0.00401798695482511,0.007144294644657644,-0.002715360639435287,0.0250571410278119,0.022834008097165938,-0.0056031641397494445,-0.001108188660364339,0.00783911042944779,-0.011806375163958082,,0.003884544842271119,0.04333549065838865,0.02484860193131984,0.009231010899050542,0.005743165764832662,-0.006691760769552494,0.01641968394913255,-0.0035913807580083895,0.024123743036034397,-0.004826545534748433
01-02-2017,,,,,,,,,0.0135401166145014,0.027979694979382148,0.003786681198602287,0.010466222645099851,-0.0017047123287671456,-0.0034828038085677887,-0.011812446900344796,-0.007306095549652305,0.005329274729737894,-0.010441767068273013,0.007410177693761814,-0.014721946564885598,-0.010631080097087338,0.0006941260833395124,-0.004057182857142964,-0.0068974046423030495,-0.0062620905587670314,0.00027904157972292705,0.0,0.0006444891936111895,-0.013856767063666661,-0.0029744901481831656,0.0007550018875048368,0.005077753094255796,0.0034471217217870334,-0.02568978164966282,0.0018680297016482217,,-0.00520335868503679,-0.015056304899549863,0.007159948921416517,-0.00024573271889389425,-0.01322627966504456,-0.031195805892547696,-0.019254175111471573,-0.01114257143362992,-0.003460668123091604,-0.012619023809523728
01-02-2018,443283.0,125596.0,94624.0,"Thank you for all of the nice compliments and reviews on the State of the Union speech. 45.6 million people watched, the highest number in history. @FoxNews beat every other Network, for the first time ever, with 11.7 million people tuning in. Delivered from the heart! March 5th is rapidly approaching and the Democrats are doing nothing about DACA. They Resist, Blame, Complain and Obstruct - and do nothing. Start pushing Nancy Pelosi and the Dems to work out a DACA fix, NOW! Heading to beautiful West Virginia to be with great members of the Republican Party. Will be planning Infrastructure and discussing Immigration and DACA, not easy when we have no support from the Democrats. NOT ONE DEM VOTED FOR OUR TAX CUT BILL! Need more Republicans in ‘18.",['FoxNews'],83.0,23.0,130.0,0.0036489861057485396,0.004664352248244584,-0.03806228373702422,-0.03375527426160341,0.011304688665090561,0.015625,0.011881947561592375,0.006201934811401178,0.017215935816168253,-0.002739726027397202,0.02587395055852746,0.007359947943018701,0.004761924886792591,0.02284432514396374,-0.004841031866645852,0.009501650069145232,0.0008437249525417366,0.00880707647470557,0.0020206918685686075,0.011661365951034921,0.016814176991150447,-0.005029829885817799,-0.0002954928415986049,0.006009314230829885,-0.0034823446666896337,-0.030274324702907262,0.010834699857801534,0.036485480268056605,0.016878785607831,-0.004985754985754986,0.002479568600373097,-0.0001699991534900102,0.00970875210932365,0.0113107119095143,-0.0034869332542877196,0.0021416397976913525,-0.004152529295512665,0.017942857142857066
01-03-2016,,,,,,,,,0.02949305623158106,0.009129085182316183,0.04089593719051325,0.00782782809502264,0.007982497134988673,0.043512658227848014,0.05415064857467957,0.009497282013521745,0.01824817480191502,0.006149116064565724,0.018454956534267573,-0.00033311125916049333,0.028933862951901253,0.0245114082380538,0.01610700181083623,0.04298807410105977,0.007146104030749105,0.007110249912004236,0.005291313385826678,0.026989502420907054,0.03985651654045436,0.03933179235923463,0.015329949728417724,0.008392077596774837,0.00856719631776504,0.014830437224698925,-0.001840318406777414,,0.007816738965861847,-0.04066920978120974,0.026346638521219122,0.018244204841312263,0.030687507799962044,-0.014090177133655452,0.009217434429596457,0.033517225997395705,-0.002850757603878307,0.008937450569450245
01-03-2017,,,,,,,,,0.013779055869019135,-0.0011522313364739896,3.5201923008408146e-05,0.0025773711340207083,0.011328006225086444,0.005124122777921765,0.005555555464778561,0.0038697048025369213,0.0034339145695314,0.002369668246445447,0.006961214868020674,0.006182768651000826,0.006307400888513823,-0.003941507912220427,0.008144952529808324,0.00872935651762732,0.003570626211408071,-0.0026384890206026176,0.009464052430199377,0.002118949598910294,-0.0029818955701406817,-0.0013301736580837813,0.001555478714906975,0.004376947767726773,0.006699626358057307,0.0050301809853082295,-0.008213018612267513,,0.006223121259529164,-0.016366311726194845,-0.025230960720921788,0.007317664303516867,0.0003519975391763575,-0.003911980248802838,0.005044390535827471,0.010488901869583674,-0.007327095852795608,0.016156671339902343
01-03-2018,390739.0,67863.0,89125.0,"Together, we will face this challenge as a national family with conviction, with unity, and with a commitment to love and support our neighbors in times of dire need. Working together, we will defeat this #OpioidEpidemic.
Full Opioid Summit: http://45.wh.gov/apMkN9  “Consumer Confidence in February Highest Since November 2000” “Manufacturing in U.S. Expands at Fastest Pace Since May 2004” Unemployment filings are at their lowest level in over 48 years. Great news for workers and JOBS, JOBS, JOBS! #MAGA Our Steel and Aluminum industries (and many others) have been decimated by decades of unfair trade and bad policy with countries from around the world. We must not let our country, companies and workers be taken advantage of any longer. We want free, fair and SMART TRADE! Many ideas, some good & some not so good, emerged from our bipartisan meeting on school safety yesterday at the White House. Background Checks a big part of conversation. Gun free zones are proven targets of killers. After many years, a Bill should emerge. Respect 2nd Amendment!",[],80.0,41.0,172.0,-0.019827451208648705,-0.0034451655195433307,-0.01331264886330833,0.04555555555555557,-0.03488528538489425,-0.01839725600249454,-0.02437080794701986,-0.02238564485437159,-0.006104622270483235,-0.033802816901408565,-0.017149841270036405,-0.04546600151553421,-0.03436559624686062,-0.02220016881688624,-0.011058966186966904,-0.017752017204225302,0.00765665928801204,-0.036231031396695486,-0.020368401957274695,-0.010320623307063072,-0.02504915056448636,-0.00806143467122116,-0.013682302608040035,-0.01356583647745948,0.0038264667391206897,0.04750866523714181,-0.030147259262289984,-0.016571485714285725,-0.008537620255091697,-0.04081045938348281,0.0044151587842583846,-0.005538325284071669,-0.036242559975796396,0.0005827505827506738,0.005661564387954716,-0.01613732188841202,-0.012088233605150853,-0.004369151388443781
01-04-2016,,,,,,,,,0.011123359175614593,0.014181198336214808,0.013565022499365257,0.047547169811320816,0.00578306252595114,0.006681514476614688,0.022880563583815034,0.015069384928767127,0.0027327630749159936,-0.013554216867469859,0.020307674725274664,-0.022771039127645987,0.01652228121678583,0.021475136454518918,0.013354654619449005,0.014401880718400487,0.01495455168952224,0.014320757863951115,0.01147131523663235,0.022857161904761912,0.025713219192977976,0.026911464101816662,0.006043760110360011,0.02038043409033844,0.018658524390243948,0.05168876803784925,0.017588811190566635,,0.009826765442294567,-0.029571563700759283,0.01596176496454011,0.009557820971981957,0.005835617324032705,0.01934610213476692,0.012940697674418524,0.004561496993572537,0.01528963607569682,0.006796079932133929
01-05-2017,,,,,,,,,0.010199834175058544,0.011536740041881877,0.022019823522567202,-0.01125112561886254,-0.009987499538348852,0.0038265731292517384,0.0011786496241564222,-0.006332216145499935,-0.007440029671771966,-0.006092254134029616,0.004744971505701626,-0.012416979138984135,0.00938157525817475,-0.0002222676804517159,-0.007560181051668076,-0.0034341002354155627,0.0016222247220290466,-0.0041550549058082704,-0.003529421994884873,0.002088369477911647,-0.00045694700443066544,0.022644999732868102,-0.007937903662276667,-0.003245795315603268,-0.003318848820743307,-0.017412919028406613,-0.010722298555377159,-0.019858826125330995,-0.014616985887096784,0.02524765584909094,-0.0023194085294945405,-0.0023428800000000853,-0.0010080897092735338,-0.010708872477875032,-0.00390794607234159,0.006654362538054011,0.0018645226722344892,0.006747589087287632
01-06-2016,,,,,,,,,-0.005655403120240524,0.018193040231571905,-0.0020252766699867587,0.011929288849415574,0.0032540000000000056,0.017808219178082178,0.0195481750749744,0.004028813391408267,-0.0015202290771303042,-0.023827252419955345,0.002362860759493702,-0.029855569823435017,-1.329245044622636e-05,0.013109607844570305,-0.0032026470588235063,0.01436071604815588,0.0022422198314896997,0.007831376333765875,0.0054237871344843015,0.002313185012220908,0.014016930504723994,9.854187192118292e-05,0.030001836489711727,0.0014408933302336125,0.01037682558530555,0.019195827134472453,0.017285559928903127,,-0.009462864934161952,-0.008668945433789842,0.009656834410074104,0.007111820525350764,0.0025976821899363458,0.004989024047315425,-0.008649479234312552,0.014723478500735398,0.0,0.00915976478570613
